param, seed, node, throughput_bits, throughput_packets, loss_rate, collision_rate
1.5, 0, 0, 100308.917867, 5.35, 0.0, 0.0061919504644
1.5, 0, 1, 48193.986322, 2.58333333333, 0.0, 0.0
1.5, 0, 2, 95434.5024499, 5.18333333333, 0.0, 0.0
1.5, 0, 3, 50325.9257893, 2.63333333333, 0.0, 0.0
1.5, 0, 4, 123824.11348, 6.55, 0.0, 0.00506329113924
1.5, 0, 5, 121690.373671, 6.45, 0.0, 0.0
1.5, 0, 6, 49039.8381956, 2.6, 0.0, 0.0
1.5, 0, 7, 25836.6091502, 1.38333333333, 0.0, 0.0
1.5, 0, 8, 98229.2374971, 5.38333333333, 0.0, 0.0
1.5, 0, 9, 24201.7992784, 1.18333333333, 0.0, 0.0
1.5, 1, 0, 98968.4684302, 5.21666666667, 0.0, 0.0
1.5, 1, 1, 50013.6957973, 2.58333333333, 0.0, 0.0
1.5, 1, 2, 97293.7050855, 5.15, 0.0, 0.0
1.5, 1, 3, 47302.3739375, 2.56666666667, 0.0, 0.0
1.5, 1, 4, 126151.683509, 6.63333333333, 0.0, 0.0
1.5, 1, 5, 121075.571981, 6.36666666667, 0.0, 0.0
1.5, 1, 6, 47802.9381363, 2.53333333333, 0.0, 0.0
1.5, 1, 7, 25331.2372374, 1.43333333333, 0.0, 0.0
1.5, 1, 8, 97829.1006186, 5.28333333333, 0.0, 0.00626959247649
1.5, 1, 9, 26712.7034835, 1.3, 0.0, 0.0
1.5, 2, 0, 101519.000235, 5.46666666667, 0.0, 0.0
1.5, 2, 1, 48616.2063674, 2.61666666667, 0.0, 0.0
1.5, 2, 2, 103060.684561, 5.38333333333, 0.0, 0.0
1.5, 2, 3, 46401.4206201, 2.66666666667, 0.0, 0.0
1.5, 2, 4, 129533.507851, 6.8, 0.0, 0.0
1.5, 2, 5, 134332.477671, 7.06666666667, 0.0, 0.0
1.5, 2, 6, 55929.8485346, 2.8, 0.0, 0.0
1.5, 2, 7, 21016.0873354, 1.21666666667, 0.0, 0.0
1.5, 2, 8, 97152.9688561, 5.4, 0.0, 0.0
1.5, 2, 9, 27490.8920288, 1.4, 0.0, 0.0
1.5, 3, 0, 110522.004297, 5.6, 0.0, 0.0
1.5, 3, 1, 49785.2392152, 2.53333333333, 0.0, 0.0
1.5, 3, 2, 112685.485513, 5.45, 0.0, 0.0
1.5, 3, 3, 54534.0370083, 2.75, 0.0, 0.0
1.5, 3, 4, 139522.997495, 6.95, 0.0, 0.0
1.5, 3, 5, 143407.502863, 7.08333333333, 0.0, 0.00468384074941
1.5, 3, 6, 58138.7422584, 2.75, 0.0, 0.0
1.5, 3, 7, 23283.3088119, 1.31666666667, 0.0, 0.0
1.5, 3, 8, 105578.403316, 5.48333333333, 0.0, 0.00604229607251
1.5, 3, 9, 27972.2018897, 1.41666666667, 0.0, 0.0
1.5, 4, 0, 100736.021094, 5.15, 0.0, 0.0
1.5, 4, 1, 47562.5688491, 2.48333333333, 0.0, 0.0
1.5, 4, 2, 99359.0615175, 5.23333333333, 0.0, 0.0
1.5, 4, 3, 46148.7513774, 2.41666666667, 0.0, 0.0
1.5, 4, 4, 123191.459948, 6.56666666667, 0.0, 0.0
1.5, 4, 5, 128174.005318, 6.63333333333, 0.0, 0.005
1.5, 4, 6, 52996.040193, 2.71666666667, 0.0, 0.0
1.5, 4, 7, 27731.8335786, 1.55, 0.0, 0.0
1.5, 4, 8, 105151.476482, 5.41666666667, 0.0, 0.00611620795107
1.5, 4, 9, 25243.0120126, 1.31666666667, 0.0, 0.0
1.5, 5, 0, 98461.0565582, 5.11666666667, 0.0, 0.0
1.5, 5, 1, 46284.202799, 2.43333333333, 0.0, 0.0
1.5, 5, 2, 96943.289256, 5.06666666667, 0.0, 0.0
1.5, 5, 3, 46339.4822231, 2.56666666667, 0.0, 0.0
1.5, 5, 4, 117150.221887, 6.31666666667, 0.0, 0.0
1.5, 5, 5, 121548.155468, 6.35, 0.0, 0.0
1.5, 5, 6, 53860.6332435, 2.61666666667, 0.0, 0.0
1.5, 5, 7, 20906.1235507, 1.26666666667, 0.0, 0.0
1.5, 5, 8, 94691.0254191, 5.06666666667, 0.0, 0.0
1.5, 5, 9, 21897.7118704, 1.21666666667, 0.0, 0.0
1.5, 6, 0, 94147.6529296, 4.96666666667, 0.0, 0.0
1.5, 6, 1, 45562.1395333, 2.51666666667, 0.0, 0.0
1.5, 6, 2, 104065.540973, 5.16666666667, 0.0, 0.0
1.5, 6, 3, 50720.6851809, 2.65, 0.0, 0.0
1.5, 6, 4, 132926.920512, 6.65, 0.0, 0.0
1.5, 6, 5, 134201.79753, 6.78333333333, 0.0, 0.00973236009732
1.5, 6, 6, 50511.682018, 2.58333333333, 0.0, 0.0
1.5, 6, 7, 24863.2866184, 1.3, 0.0, 0.0
1.5, 6, 8, 95705.8925568, 5.03333333333, 0.0, 0.00657894736842
1.5, 6, 9, 30417.7487814, 1.48333333333, 0.0, 0.0
